999,Wels,,1,48.168,14.021, 318
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,9.7,E,8,5.0,E,8,72,E,8,978,E,8,218,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.315,E,8,0.077,E,8,0.73,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,9.0,E,8,4.9,E,8,75,E,8,978,E,8,252,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.304,E,8,0.077,E,8,0.72,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,8.3,E,8,4.3,E,8,76,E,8,978,E,8,249,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.249,E,8,0.077,E,8,0.70,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,8.0,E,8,4.0,E,8,76,E,8,978,E,8,265,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.226,E,8,0.077,E,8,0.69,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,7.6,E,8,3.6,E,8,76,E,8,978,E,8,263,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.197,E,8,0.077,E,8,0.68,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,7.3,E,8,3.8,E,8,78,E,8,978,E,8,252,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.209,E,8,0.077,E,8,0.66,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,7.0,E,8,3.4,E,8,78,E,8,978,E,8,276,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.179,E,8,0.077,E,8,0.65,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,6.8,E,8,3.0,E,8,77,E,8,978,E,8,237,E,8,1.7,E,8,-9990,0,0,-9990,0,0,1.147,E,8,0.077,E,8,0.64,E,8,0,-9990,0,0
01/01/2005,09:00,45,700,14,3,10,0,3,20,14,3,10,1680,3,10,0,3,20,1680,3,10,-9990,0,0,1,E,8,1,E,8,7.0,E,8,3.3,E,8,77,E,8,978,E,8,259,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.168,E,8,0.077,E,8,0.62,E,8,0,-9990,0,0
01/01/2005,10:00,259,1412,173,3,10,675,3,20,49,3,10,17467,3,10,52831,3,20,7768,3,10,-9990,0,0,1,E,8,1,E,8,8.5,E,8,3.6,E,8,71,E,8,978,E,8,298,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.197,E,8,0.077,E,8,0.59,E,8,0,-9990,0,0
01/01/2005,11:00,378,1412,243,3,10,620,3,20,77,3,10,25299,3,10,51739,3,20,11443,3,10,-9990,0,0,1,E,8,1,E,8,9.4,E,8,2.8,E,8,63,E,8,978,E,8,185,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.126,E,8,0.077,E,8,0.57,E,8,0,-9990,0,0
01/01/2005,12:00,443,1412,231,3,10,332,3,20,126,3,10,24636,3,10,29177,3,20,15477,3,10,-9990,0,0,6,E,8,5,E,8,9.8,E,8,2.8,E,8,62,E,8,978,E,8,271,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.132,E,8,0.077,E,8,0.55,E,8,0,-9990,0,0
01/01/2005,13:00,450,1412,113,3,10,2,3,20,113,3,10,12773,3,10,88,3,20,12745,3,10,-9990,0,0,10,E,8,9,E,8,9.5,E,8,2.8,E,8,63,E,8,978,E,8,235,E,8,2.8,E,8,-9990,0,0,-9990,0,0,1.133,E,8,0.077,E,8,0.53,E,8,0,-9990,0,0
01/01/2005,14:00,398,1412,93,3,10,0,3,20,93,3,10,10548,3,10,0,3,20,10548,3,10,-9990,0,0,10,E,8,9,E,8,9.1,E,8,2.6,E,8,63,E,8,978,E,8,148,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.110,E,8,0.077,E,8,0.50,E,8,0,-9990,0,0
01/01/2005,15:00,291,1412,77,3,10,6,3,20,76,3,10,8563,3,10,503,3,20,8460,3,10,-9990,0,0,1,E,8,1,E,8,8.8,E,8,2.7,E,8,65,E,8,977,E,8,190,E,8,2.4,E,8,-9990,0,0,-9990,0,0,1.119,E,8,0.077,E,8,0.49,E,8,0,-9990,0,0
01/01/2005,16:00,136,1412,28,3,10,0,3,20,28,3,10,3167,3,10,0,3,20,3167,3,10,-9990,0,0,1,E,8,1,E,8,8.4,E,8,3.1,E,8,69,E,8,977,E,8,221,E,8,3.7,E,8,-9990,0,0,-9990,0,0,1.153,E,8,0.077,E,8,0.46,E,8,0,-9990,0,0
01/01/2005,17:00,2,149,1,3,10,0,3,20,1,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,3,E,8,2,E,8,7.9,E,8,3.3,E,8,72,E,8,977,E,8,126,E,8,2.6,E,8,-9990,0,0,-9990,0,0,1.169,E,8,0.077,E,8,0.44,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,3,E,8,2,E,8,7.5,E,8,3.3,E,8,74,E,8,977,E,8,200,E,8,3.0,E,8,-9990,0,0,-9990,0,0,1.167,E,8,0.077,E,8,0.43,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,3,E,8,2,E,8,7.1,E,8,2.9,E,8,75,E,8,977,E,8,187,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.137,E,8,0.077,E,8,0.41,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,6.7,E,8,2.8,E,8,76,E,8,976,E,8,236,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.131,E,8,0.077,E,8,0.40,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,6.3,E,8,2.6,E,8,77,E,8,976,E,8,249,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.111,E,8,0.077,E,8,0.38,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,5.8,E,8,1.9,E,8,76,E,8,976,E,8,210,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.062,E,8,0.077,E,8,0.37,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,5.4,E,8,0.6,E,8,71,E,8,976,E,8,265,E,8,0.8,E,8,-9990,0,0,-9990,0,0,0.969,E,8,0.077,E,8,0.36,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,5.0,E,8,0.8,E,8,74,E,8,976,E,8,216,E,8,0.7,E,8,-9990,0,0,-9990,0,0,0.983,E,8,0.077,E,8,0.35,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,5,E,8,4,E,8,4.7,E,8,0.6,E,8,75,E,8,975,E,8,247,E,8,0.8,E,8,-9990,0,0,-9990,0,0,0.967,E,8,0.064,E,8,0.34,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,4.3,E,8,0.0,E,8,74,E,8,975,E,8,220,E,8,2.4,E,8,-9990,0,0,-9990,0,0,0.929,E,8,0.064,E,8,0.33,E,8,0,-9990,0,0
